ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
5820,허위대듯,,향수,임화,"불안/걱정, 기대감, 환영/호의, 감동/감탄, 서러움","감동/감탄, 신기함/관심",없음,"슬픔, 힘듦/지침, 재미없음"
5821,잊기 어려운,,향수,임화,"슬픔, 서러움, 아껴주는, 감동/감탄","안타까움/실망, 아껴주는, 서러움, 슬픔, 불안/걱정, 고마움","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","당황/난처, 불안/걱정, 슬픔, 서러움, 힘듦/지침"
5822,나비를 쫓고 있다.,,향수,임화,"공포/무서움, 불안/걱정, 비장함, 의심/불신, 기대감, 서러움","불쌍함/연민, 안타까움/실망, 신기함/관심","기대감, 신기함/관심","기쁨, 신기함/관심, 아껴주는, 환영/호의"
5823,두 번 고치지 못할 운명은,,지도,임화,"비장함, 서러움, 안타까움/실망, 의심/불신, 불안/걱정, 지긋지긋, 패배/자기혐오","서러움, 슬픔, 비장함, 안타까움/실망, 깨달음, 불안/걱정, 당황/난처, 절망, 패배/자기혐오","부담/안_내킴, 서러움, 안타까움/실망, 비장함","서러움, 슬픔, 안타까움/실망, 절망"
5824,이미 바다 저쪽에서 굳었겠다.,,지도,임화,"안타까움/실망, 불안/걱정, 불평/불만, 지긋지긋","힘듦/지침, 한심함, 안타까움/실망, 의심/불신, 화남/분노, 불평/불만","당황/난처, 부담/안_내킴","당황/난처, 불안/걱정, 절망, 힘듦/지침"
5825,"바라보이는 것은 한가닥 길뿐,",,지도,임화,"안타까움/실망, 슬픔, 서러움, 공포/무서움, 불안/걱정, 힘듦/지침","기대감, 불평/불만, 당황/난처, 안타까움/실망","부담/안_내킴, 안타까움/실망","불안/걱정, 슬픔, 힘듦/지침, 패배/자기혐오"
5826,나는 반도의 새 지도를 폈다.,,지도,임화,"기대감, 비장함","기대감, 뿌듯함, 비장함, 즐거움/신남","기대감, 기쁨, 비장함, 뿌듯함","기대감, 기쁨, 비장함"
5827,나의 눈이 외국 사람처럼,,지도,임화,"놀람, 경악","깨달음, 놀람, 기대감, 불안/걱정, 신기함/관심","놀람, 당황/난처","불안/걱정, 당황/난처, 놀람, 부담/안_내킴, 역겨움/징그러움"
5828,서툴리 방황하는 지도 위에,,지도,임화,"당황/난처, 불안/걱정, 의심/불신, 한심함, 패배/자기혐오, 안타까움/실망","불쌍함/연민, 불안/걱정, 당황/난처, 서러움, 안타까움/실망, 의심/불신","당황/난처, 부담/안_내킴","불안/걱정, 불평/불만, 슬픔"
5829,몇 번 새 시대는 제 낙인을 찍었느냐?,,지도,임화,"의심/불신, 한심함, 불안/걱정, 불평/불만, 깨달음, 부담/안_내킴, 지긋지긋","불안/걱정, 지긋지긋, 의심/불신","불평/불만, 안타까움/실망","경악, 불쌍함/연민, 안타까움/실망, 슬픔"
5830,꾸긴 지도를 밟았다 놓는,,지도,임화,"불평/불만, 짜증, 부담/안_내킴, 화남/분노","안타까움/실망, 불쌍함/연민, 서러움","부담/안_내킴, 불평/불만, 안타까움/실망, 화남/분노","불안/걱정, 의심/불신, 힘듦/지침"
5831,손발이 내 어깨를 누르는 무게가,,지도,임화,"서러움, 부담/안_내킴, 슬픔, 안타까움/실망, 힘듦/지침, 당황/난처","부담/안_내킴, 불안/걱정, 서러움, 힘듦/지침",부담/안_내킴,"당황/난처, 부담/안_내킴, 불안/걱정, 안타까움/실망"
5832,분명히 심장 속에 파고 든다.,,지도,임화,"깨달음, 비장함","깨달음, 공포/무서움, 불안/걱정, 놀람, 당황/난처, 서러움, 절망, 패배/자기혐오, 화남/분노","경악, 놀람, 당황/난처, 부담/안_내킴","비장함, 슬픔, 의심/불신, 절망"
5833,이 새 문화의 촘촘한 그물 밑에,,지도,임화,"깨달음, 당황/난처, 부담/안_내킴, 불안/걱정, 의심/불신","기대감, 기쁨, 깨달음, 뿌듯함, 신기함/관심, 아껴주는, 불안/걱정, 즐거움/신남, 환영/호의",신기함/관심,"불안/걱정, 힘듦/지침"
5834,나는 전선줄을 끊고 철로길에 누웠던,,지도,임화,"패배/자기혐오, 힘듦/지침, 불안/걱정, 서러움, 절망","불안/걱정, 당황/난처, 경악, 불쌍함/연민, 신기함/관심, 한심함, 패배/자기혐오","부담/안_내킴, 지긋지긋, 한심함","경악, 당황/난처, 부담/안_내킴, 불안/걱정, 절망"
5835,옛날 어른들의 슬픈 미신을 추억한다.,,지도,임화,"슬픔, 불쌍함/연민","슬픔, 불안/걱정, 불쌍함/연민","불쌍함/연민, 서러움, 안타까움/실망","서러움, 슬픔, 아껴주는, 안심/신뢰"
5836,"비록 늙은 어버이들의 아픈 신음이나,",,지도,임화,"불쌍함/연민, 슬픔, 불안/걱정","불쌍함/연민, 불안/걱정, 서러움, 아껴주는, 안타까움/실망, 힘듦/지침, 공포/무서움","당황/난처, 불쌍함/연민, 안타까움/실망, 힘듦/지침","안타까움/실망, 슬픔, 불쌍함/연민, 힘듦/지침, 절망"
5837,"벗들의 괴로운 숨소리는,",,지도,임화,"불쌍함/연민, 아껴주는, 절망, 서러움, 공포/무서움, 패배/자기혐오","불쌍함/연민, 슬픔, 아껴주는, 불안/걱정","당황/난처, 부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망, 절망","경악, 공포/무서움, 불쌍함/연민, 불안/걱정, 서러움, 슬픔, 절망, 힘듦/지침"
5838,"두려운 침묵 속에 잠잠하여,",,지도,임화,"공포/무서움, 불안/걱정","불안/걱정, 공포/무서움, 부담/안_내킴, 당황/난처, 의심/불신, 한심함","부담/안_내킴, 안타까움/실망","불안/걱정, 불평/불만, 의심/불신"
5839,희망이란 큰 수부(首府)에 닿는 길이,,지도,임화,"기대감, 깨달음, 비장함, 고마움, 안심/신뢰","기대감, 불안/걱정, 깨달음","기대감, 부담/안_내킴, 불안/걱정, 힘듦/지침","기대감, 기쁨, 행복, 즐거움/신남"
5840,"경부철로(京釜鐵路)처럼 곱다 안할지라도,",,지도,임화,"깨달음, 안타까움/실망, 환영/호의, 힘듦/지침, 서러움, 부담/안_내킴","아껴주는, 환영/호의, 불쌍함/연민, 서러움","기대감, 신기함/관심","슬픔, 안타까움/실망, 힘듦/지침"
5841,"아! 벗들아, 나의 눈은",,지도,임화,"아껴주는, 당황/난처, 놀람, 감동/감탄","비장함, 깨달음, 놀람, 서러움, 슬픔, 아껴주는, 불안/걱정","놀람, 불쌍함/연민, 불안/걱정, 안타까움/실망","슬픔, 절망"
5842,"그대들이 별처럼 흩어져 있는,",,지도,임화,"아껴주는, 흐뭇함(귀여움/예쁨), 감동/감탄, 깨달음, 환영/호의","기대감, 기쁨, 뿌듯함, 불쌍함/연민, 불안/걱정, 아껴주는, 흐뭇함(귀여움/예쁨)","기대감, 뿌듯함, 신기함/관심","슬픔, 서러움, 아껴주는, 안타까움/실망"
5843,남북 몇 곳 위에 불똥처럼 발가니 달고 있다.,,지도,임화,"신기함/관심, 불안/걱정, 공포/무서움","신기함/관심, 기대감, 환영/호의, 뿌듯함, 비장함, 불안/걱정","놀람, 기대감, 신기함/관심","불안/걱정, 의심/불신, 힘듦/지침"
5844,산맥과 강과 평원과 구릉이여!,,지도,임화,"감동/감탄, 존경, 아껴주는, 환영/호의, 흐뭇함(귀여움/예쁨)","감동/감탄, 환영/호의, 존경, 아껴주는, 안심/신뢰, 뿌듯함, 기쁨","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 비장함, 존경, 안심/신뢰, 아껴주는"
5845,내일 나의 조그만 운명이 결정될,,지도,임화,"불안/걱정, 기대감, 공포/무서움, 비장함",불안/걱정,"부담/안_내킴, 불안/걱정, 안타까움/실망","기대감, 비장함"
5846,"어느 한 곳을 집는 가는 손길이,",,지도,임화,"불안/걱정, 신기함/관심, 놀람, 불쌍함/연민, 아껴주는","불쌍함/연민, 불안/걱정, 아껴주는","신기함/관심, 아껴주는","불쌍함/연민, 슬픔, 안타까움/실망"
5847,"떨리며 가리키는 것이 무엇인지,",,지도,임화,"당황/난처, 의심/불신, 불안/걱정, 공포/무서움, 기대감",불안/걱정,"공포/무서움, 당황/난처, 부담/안_내킴","불안/걱정, 부담/안_내킴, 힘듦/지침"
5848,너는 아느냐?,,지도,임화,"우쭐댐/무시함, 서러움, 불평/불만, 기대감, 짜증","기대감, 신기함/관심","불평/불만, 의심/불신","불안/걱정, 당황/난처, 비장함"
5849,이름도 없는 일 청년이 바야흐로,,지도,임화,"불쌍함/연민, 신기함/관심, 아껴주는, 기대감","불쌍함/연민, 기대감, 불안/걱정, 아껴주는, 즐거움/신남, 환영/호의","기대감, 고마움, 뿌듯함","불안/걱정, 슬픔, 서러움, 안타까움/실망, 절망"
5850,"어떤 도시 위에 자기의 이름자를 붙여,",,지도,임화,"불안/걱정, 슬픔, 비장함, 기대감, 안타까움/실망","어이없음, 한심함, 놀람, 감동/감탄, 의심/불신",우쭐댐/무시함,"비장함, 환영/호의, 기대감, 기쁨"
5851,"불멸한 기념을 삼으려는,",,지도,임화,"비장함, 놀람, 신기함/관심","기쁨, 비장함, 뿌듯함, 즐거움/신남, 환영/호의","뿌듯함, 비장함","비장함, 깨달음"
5852,"엄청난 생각을 품고 바다를 건너던,",,지도,임화,"신기함/관심, 감동/감탄, 비장함, 존경, 기대감, 깨달음","비장함, 기대감, 신기함/관심, 아껴주는, 불안/걱정, 안심/신뢰, 존경","기대감, 기쁨, 뿌듯함","기대감, 깨달음, 비장함"
5853,어느 해 여름밤을,,지도,임화,"신기함/관심, 기대감","기대감, 불안/걱정, 없음",없음,"기쁨, 기대감, 즐거움/신남, 행복"
5854,너는 축복(祝福)지 않으려느냐?,,지도,임화,"안타까움/실망, 불안/걱정, 불평/불만, 의심/불신, 서러움, 힘듦/지침, 화남/분노","서러움, 불평/불만, 당황/난처, 안타까움/실망, 기대감, 불안/걱정","놀람, 어이없음, 의심/불신","놀람, 불안/걱정, 비장함, 신기함/관심"
5855,"나는 대륙과 해양과 그러고 성신(星辰) 태양(太陽)과,",,지도,임화,"존경, 아껴주는, 기대감, 감동/감탄, 안심/신뢰","존경, 환영/호의, 아껴주는, 감동/감탄, 안심/신뢰","감동/감탄, 비장함, 뿌듯함","뿌듯함, 비장함, 기쁨, 기대감"
5856,"나의 반도가 만들어진 유구한 역사와 더불어,",,지도,임화,"뿌듯함, 감동/감탄, 비장함, 아껴주는, 환영/호의, 존경","존경, 뿌듯함, 고마움, 감동/감탄","비장함, 뿌듯함","비장함, 뿌듯함"
5857,우리들이 사는 세계의 도면이 만들어진,,지도,임화,"깨달음, 신기함/관심","즐거움/신남, 감동/감탄, 기대감, 기쁨, 뿌듯함, 환영/호의","기대감, 신기함/관심","불안/걱정, 부담/안_내킴, 의심/불신"
5858,복잡하고 곤란한 내력을 안다.,,지도,임화,"깨달음, 귀찮음, 부담/안_내킴, 당황/난처, 지긋지긋, 힘듦/지침","당황/난처, 불쌍함/연민, 부담/안_내킴, 불안/걱정, 서러움, 죄책감, 힘듦/지침, 귀찮음","당황/난처, 부담/안_내킴, 안타까움/실망","깨달음, 당황/난처, 불안/걱정, 부담/안_내킴, 슬픔"
5859,"그것은 무수한 인간의 존귀한 생명과,",,지도,임화,"감동/감탄, 존경, 깨달음, 기대감, 뿌듯함, 환영/호의, 고마움","비장함, 존경, 감동/감탄, 환영/호의","기대감, 깨달음, 비장함, 뿌듯함","감동/감탄, 아껴주는, 안심/신뢰, 존경, 비장함, 기대감, 깨달음"
5860,"크나큰 역사의 구둣발이 지나간,",,지도,임화,"화남/분노, 패배/자기혐오, 안타까움/실망, 절망, 깨달음, 비장함, 슬픔, 서러움, 공포/무서움","비장함, 화남/분노, 감동/감탄",비장함,"슬픔, 증오/혐오, 불안/걱정"
5861,너무나 뚜렷한 발자욱이 아니냐?,,지도,임화,"놀람, 신기함/관심, 감동/감탄, 고마움, 기대감, 뿌듯함, 안심/신뢰, 존경, 즐거움/신남, 환영/호의","놀람, 감동/감탄, 기대감, 불안/걱정, 즐거움/신남, 신기함/관심, 의심/불신","놀람, 의심/불신","깨달음, 놀람, 당황/난처"
5862,"한 번도 뚜렷이 불려보지 못한 채,",,지도,임화,"안타까움/실망, 슬픔, 서러움, 불안/걱정","불쌍함/연민, 불안/걱정, 불평/불만, 서러움, 슬픔, 아껴주는, 안타까움/실망","부담/안_내킴, 안타까움/실망","불안/걱정, 당황/난처, 불평/불만, 슬픔"
5863,"청년의 아름다운 이름이 땅 속에 묻힐지라도,",,지도,임화,"아껴주는, 존경, 비장함, 고마움, 깨달음, 불쌍함/연민","서러움, 안심/신뢰, 아껴주는, 흐뭇함(귀여움/예쁨), 기대감, 비장함, 안타까움/실망, 불쌍함/연민, 존경","불쌍함/연민, 아껴주는, 비장함","깨달음, 비장함, 슬픔"
5864,지금 우리가 일로부터 만들어질,,지도,임화,"기대감, 뿌듯함","기대감, 즐거움/신남","기대감, 뿌듯함","감동/감탄, 기대감, 비장함, 행복, 환영/호의"
5865,"새 지도의 젊은 화공(畵工)의 한 사람이란 건,",,지도,임화,"뿌듯함, 비장함, 기대감, 깨달음","기대감, 고마움, 불안/걱정, 뿌듯함, 아껴주는, 환영/호의, 행복","기대감, 뿌듯함","감동/감탄, 신기함/관심, 아껴주는, 기대감"
5866,얼마나 즐거운 일이냐?,,지도,임화,"즐거움/신남, 우쭐댐/무시함, 기쁨, 감동/감탄","깨달음, 감동/감탄, 즐거움/신남, 기쁨, 불평/불만, 슬픔, 우쭐댐/무시함","기대감, 기쁨, 즐거움/신남","감동/감탄, 기쁨, 기대감, 깨달음, 환영/호의, 즐거움/신남"
5867,"삼등 선실 밑에 홀로,",,지도,임화,"슬픔, 서러움, 없음","힘듦/지침, 서러움, 슬픔, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 패배/자기혐오","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망","슬픔, 불안/걱정, 힘듦/지침"
5868,별들이 찬란한 천공(天空)보다 아름다운,,지도,임화,"아껴주는, 감동/감탄, 환영/호의, 기쁨, 존경","흐뭇함(귀여움/예쁨), 아껴주는, 감동/감탄, 존경","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 기쁨, 뿌듯함, 행복"
5869,새 지도를 멍석처럼 쫙 펼쳐보는,,지도,임화,"기대감, 신기함/관심","기대감, 신기함/관심, 즐거움/신남","기대감, 기쁨","부담/안_내킴, 안심/신뢰, 흐뭇함(귀여움/예쁨)"
5870,"한 여름밤아, 광영이 있거라.",,지도,임화,"기대감, 환영/호의, 아껴주는","기대감, 기쁨, 비장함, 아껴주는, 즐거움/신남, 환영/호의","기대감, 비장함","감동/감탄, 기대감, 비장함, 힘듦/지침"
5871,알지 못할 새,,어린 태양이 말하되,임화,"놀람, 당황/난처, 불안/걱정, 의심/불신","당황/난처, 부끄러움, 부담/안_내킴, 불안/걱정, 서러움, 안타까움/실망, 어이없음, 놀람","당황/난처, 부담/안_내킴, 신기함/관심","기대감, 불안/걱정, 신기함/관심"
5872,조그만 태양이 된,,어린 태양이 말하되,임화,"불쌍함/연민, 아껴주는, 흐뭇함(귀여움/예쁨), 신기함/관심, 깨달음, 기대감","흐뭇함(귀여움/예쁨), 기대감, 불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망, 아껴주는","기대감, 기쁨, 신기함/관심","감동/감탄, 기쁨, 신기함/관심, 환영/호의, 흐뭇함(귀여움/예쁨), 즐거움/신남"
5873,나의 마음에,,어린 태양이 말하되,임화,"아껴주는, 환영/호의","깨달음, 비장함, 기대감, 불안/걱정","기대감, 신기함/관심, 안심/신뢰","비장함, 슬픔, 불안/걱정, 힘듦/지침"
5874,고향은,,어린 태양이 말하되,임화,"아껴주는, 신기함/관심, 없음","슬픔, 신기함/관심, 서러움, 기대감, 불안/걱정","불쌍함/연민, 기대감, 안타까움/실망","슬픔, 아껴주는, 서러움"
5875,멀어갈수록 커졌다.,,어린 태양이 말하되,임화,"기대감, 신기함/관심, 놀람, 경악, 불안/걱정","당황/난처, 놀람, 불안/걱정, 공포/무서움",신기함/관심,"슬픔, 불안/걱정, 힘듦/지침"
5876,누구 하나,,어린 태양이 말하되,임화,"슬픔, 서러움, 없음, 절망","서러움, 불안/걱정, 부담/안_내킴, 안타까움/실망, 절망, 당황/난처, 불평/불만, 한심함",없음,"당황/난처, 슬픔, 불안/걱정"
5877,"남기고 오지 않았고,",,어린 태양이 말하되,임화,"안타까움/실망, 불안/걱정, 당황/난처","안타까움/실망, 불평/불만, 서러움, 어이없음, 의심/불신",비장함,"비장함, 안심/신뢰, 감동/감탄"
5878,못 잊을,,어린 태양이 말하되,임화,"서러움, 슬픔, 아껴주는, 깨달음, 절망, 화남/분노","슬픔, 서러움, 불평/불만, 부담/안_내킴, 아껴주는, 안타까움/실망, 힘듦/지침, 지긋지긋, 짜증, 깨달음","불쌍함/연민, 안타까움/실망","서러움, 슬픔, 힘듦/지침"
5879,"풀 한 포기 없건만,",,어린 태양이 말하되,임화,"절망, 불안/걱정, 슬픔, 안타까움/실망, 서러움","불안/걱정, 불평/불만, 서러움, 슬픔, 안타까움/실망, 절망","부담/안_내킴, 불안/걱정, 안타까움/실망","당황/난처, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 슬픔, 절망"
5880,기적이 울고,,어린 태양이 말하되,임화,"슬픔, 감동/감탄, 서러움, 기대감, 안타까움/실망","감동/감탄, 기쁨, 불안/걱정, 불쌍함/연민, 서러움, 슬픔, 기대감, 절망, 패배/자기혐오","놀람, 불쌍함/연민","비장함, 깨달음, 기대감"
5881,대륙에 닿은 한 가닥 줄이,,어린 태양이 말하되,임화,"비장함, 깨달음, 존경, 기대감, 아껴주는, 환영/호의, 고마움, 감동/감탄","신기함/관심, 기대감, 불안/걱정, 놀람, 감동/감탄","신기함/관심, 안타까움/실망","기대감, 신기함/관심, 기쁨, 불안/걱정, 즐거움/신남"
5882,"최후로 풀어지며,",,어린 태양이 말하되,임화,"비장함, 안타까움/실망","비장함, 불안/걱정, 기대감","비장함, 안심/신뢰",비장함
5883,그만 물새처럼,,어린 태양이 말하되,임화,"놀람, 당황/난처, 신기함/관심","아껴주는, 흐뭇함(귀여움/예쁨), 안타까움/실망, 놀람",신기함/관심,"기대감, 비장함, 신기함/관심"
5884,나는 외로워졌다.,,어린 태양이 말하되,임화,"슬픔, 서러움, 불평/불만, 안타까움/실망","서러움, 슬픔, 안타까움/실망, 힘듦/지침, 패배/자기혐오, 당황/난처, 놀람, 불쌍함/연민","당황/난처, 부담/안_내킴, 서러움, 안타까움/실망","불안/걱정, 슬픔, 힘듦/지침"
5885,잊어버리었던 고향의,,어린 태양이 말하되,임화,"서러움, 아껴주는, 슬픔, 고마움, 감동/감탄, 깨달음","당황/난처, 놀람, 서러움, 아껴주는, 안타까움/실망","불쌍함/연민, 서러움, 기대감, 안타까움/실망","당황/난처, 슬픔, 서러움, 불안/걱정, 힘듦/지침, 안타까움/실망"
5886,어둔 실현의 무게가,,어린 태양이 말하되,임화,"불안/걱정, 안타까움/실망, 힘듦/지침, 패배/자기혐오","힘듦/지침, 의심/불신, 불안/걱정, 부담/안_내킴","부담/안_내킴, 불안/걱정, 서러움, 안타까움/실망","불안/걱정, 힘듦/지침, 절망"
5887,떠오르려는 어린 태양을,,어린 태양이 말하되,임화,"기대감, 흐뭇함(귀여움/예쁨), 존경","기대감, 놀람, 감동/감탄, 신기함/관심, 아껴주는, 불안/걱정, 환영/호의","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 기대감, 기쁨, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨), 즐거움/신남"
5888,바다 속으로 누를 듯,,어린 태양이 말하되,임화,"부담/안_내킴, 공포/무서움, 불안/걱정, 힘듦/지침, 서러움, 절망, 패배/자기혐오","감동/감탄, 공포/무서움, 놀람, 신기함/관심, 불안/걱정, 존경","공포/무서움, 부담/안_내킴","감동/감탄, 아껴주는, 신기함/관심, 행복, 기쁨"
5889,사납다만.,,어린 태양이 말하되,임화,"당황/난처, 놀람","불안/걱정, 안타까움/실망, 당황/난처, 힘듦/지침, 지긋지긋",없음,"불안/걱정, 불평/불만, 힘듦/지침"
5890,나무 하나 없는,,어린 태양이 말하되,임화,"서러움, 절망, 깨달음, 당황/난처, 힘듦/지침","당황/난처, 절망, 불쌍함/연민, 불안/걱정, 서러움, 슬픔, 안타까움/실망","부담/안_내킴, 안타까움/실망","경악, 놀람, 불안/걱정, 슬픔, 절망, 패배/자기혐오, 힘듦/지침"
5891,하늘과 바다 사이,,어린 태양이 말하되,임화,"신기함/관심, 비장함, 존경","신기함/관심, 감동/감탄, 기대감, 놀람, 불안/걱정, 비장함",없음,"감동/감탄, 기대감, 존경, 환영/호의"
5892,"구름과 바람을 뚫고,",,어린 태양이 말하되,임화,"비장함, 없음, 놀람","비장함, 뿌듯함, 힘듦/지침, 부담/안_내킴, 불안/걱정, 공포/무서움, 귀찮음","비장함, 힘듦/지침","감동/감탄, 기쁨, 비장함"
5893,하룻저녁,,어린 태양이 말하되,임화,"신기함/관심, 없음","신기함/관심, 없음",없음,"편안/쾌적, 행복"
5894,"너른 수평선 아래로,",,어린 태양이 말하되,임화,"기대감, 신기함/관심","불안/걱정, 기대감",신기함/관심,"감동/감탄, 기쁨, 기대감, 환영/호의"
5895,아름다이 가라앉는,,어린 태양이 말하되,임화,"흐뭇함(귀여움/예쁨), 감동/감탄, 깨달음, 신기함/관심, 편안/쾌적, 슬픔, 기쁨, 환영/호의","감동/감탄, 기대감, 불안/걱정, 슬픔, 안타까움/실망, 비장함, 서러움, 놀람","기대감, 기쁨, 신기함/관심","슬픔, 힘듦/지침, 안타까움/실망"
5896,"낙일(落日)이,",,어린 태양이 말하되,임화,"신기함/관심, 깨달음","안타까움/실망, 감동/감탄, 신기함/관심","안타까움/실망, 서러움","감동/감탄, 기대감, 기쁨, 즐거움/신남"
5897,나의 가슴에,,어린 태양이 말하되,임화,"비장함, 기대감, 깨달음, 환영/호의","서러움, 기대감, 불안/걱정, 절망, 의심/불신, 행복, 환영/호의, 죄책감",없음,"감동/감탄, 기대감, 기쁨, 환영/호의"
5898,놀처럼 붉다.,,어린 태양이 말하되,임화,"신기함/관심, 흐뭇함(귀여움/예쁨), 감동/감탄","감동/감탄, 깨달음, 기대감, 놀람, 불안/걱정, 서러움, 슬픔, 흐뭇함(귀여움/예쁨)","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 기쁨, 신기함/관심, 환영/호의, 흐뭇함(귀여움/예쁨)"
5899,이제는 먼 고향이여!,,어린 태양이 말하되,임화,"슬픔, 안타까움/실망, 서러움, 비장함, 깨달음","서러움, 불안/걱정, 슬픔, 아껴주는, 안타까움/실망, 절망","감동/감탄, 기대감, 불쌍함/연민, 안타까움/실망","불안/걱정, 안타까움/실망, 슬픔, 힘듦/지침"
5900,감당하기 어려운 괴로움으로,,어린 태양이 말하되,임화,"서러움, 패배/자기혐오, 지긋지긋, 힘듦/지침, 안타까움/실망, 부담/안_내킴","힘듦/지침, 당황/난처, 부담/안_내킴, 서러움, 패배/자기혐오","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망, 절망","경악, 불안/걱정, 불평/불만, 슬픔, 절망, 패배/자기혐오"
5901,"나를 내치고,",,어린 태양이 말하되,임화,"서러움, 안타까움/실망, 당황/난처, 불안/걱정, 증오/혐오, 의심/불신, 화남/분노","서러움, 안타까움/실망, 당황/난처, 화남/분노","불평/불만, 안타까움/실망","당황/난처, 불안/걱정, 절망, 힘듦/지침"
5902,이내 아픈 신음 소리로,,어린 태양이 말하되,임화,"서러움, 패배/자기혐오, 힘듦/지침, 불쌍함/연민, 당황/난처, 불안/걱정, 화남/분노, 절망","당황/난처, 불쌍함/연민, 슬픔, 안타까움/실망, 불안/걱정","당황/난처, 부담/안_내킴, 놀람","경악, 공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정, 슬픔, 서러움"
5903,나를 부르는,,어린 태양이 말하되,임화,"기대감, 신기함/관심, 놀람","비장함, 불안/걱정, 환영/호의, 귀찮음, 부담/안_내킴, 기쁨, 기대감",없음,"감동/감탄, 기대감, 기쁨, 즐거움/신남, 존경"
5904,그대의 마음은,,어린 태양이 말하되,임화,"아껴주는, 신기함/관심","신기함/관심, 아껴주는","기대감, 기쁨, 신기함/관심, 아껴주는","기대감, 아껴주는, 즐거움/신남, 흐뭇함(귀여움/예쁨), 환영/호의"
5905,너무나 진망궂은,,어린 태양이 말하되,임화,"흐뭇함(귀여움/예쁨), 불쌍함/연민, 아껴주는","귀찮음, 지긋지긋, 짜증, 어이없음, 불평/불만, 화남/분노","신기함/관심, 흐뭇함(귀여움/예쁨)","불안/걱정, 불평/불만, 안타까움/실망, 슬픔, 힘듦/지침"
5906,청년들의 운명이구나!,,어린 태양이 말하되,임화,"비장함, 존경, 감동/감탄, 아껴주는, 환영/호의, 신기함/관심","비장함, 서러움, 불쌍함/연민, 기대감, 감동/감탄, 깨달음","감동/감탄, 기대감, 기쁨, 뿌듯함","감동/감탄, 깨달음, 비장함, 아껴주는, 안심/신뢰"
5907,참아야 할 고난은,,어린 태양이 말하되,임화,"서러움, 슬픔, 힘듦/지침, 비장함, 깨달음","깨달음, 서러움, 슬픔, 부담/안_내킴, 힘듦/지침, 비장함","부담/안_내킴, 불안/걱정, 안타까움/실망","경악, 공포/무서움, 불안/걱정, 불평/불만, 비장함, 슬픔, 절망, 힘듦/지침"
5908,"나의 용기를 돋우고,",,어린 태양이 말하되,임화,"비장함, 고마움, 뿌듯함, 기대감, 신기함/관심","기대감, 고마움, 기쁨, 감동/감탄, 깨달음, 비장함, 뿌듯함, 안심/신뢰, 환영/호의","비장함, 뿌듯함","감동/감탄, 기쁨, 기대감, 즐거움/신남, 환영/호의"
5909,외로움은,,어린 태양이 말하되,임화,"슬픔, 깨달음, 서러움, 힘듦/지침","깨달음, 서러움, 슬픔, 불쌍함/연민, 안타까움/실망, 힘듦/지침",안타까움/실망,"감동/감탄, 서러움, 슬픔, 힘듦/지침"
5910,나의 용기 위에,,어린 태양이 말하되,임화,"비장함, 뿌듯함, 기대감","비장함, 뿌듯함, 기대감, 안심/신뢰, 불안/걱정","비장함, 뿌듯함","기대감, 비장함, 환영/호의"
5911,또 한 가지 광채를 더했으면……,,어린 태양이 말하되,임화,"안타까움/실망, 기대감, 신기함/관심, 아껴주는","기대감, 신기함/관심, 아껴주는, 안타까움/실망, 흐뭇함(귀여움/예쁨)","기대감, 안타까움/실망","기대감, 비장함"
5912,"아아, 나의 대륙아!",,어린 태양이 말하되,임화,"안타까움/실망, 감동/감탄, 슬픔, 놀람, 불쌍함/연민","불쌍함/연민, 비장함, 서러움, 안타까움/실망","감동/감탄, 기대감, 기쁨, 신기함/관심","감동/감탄, 기쁨, 신기함/관심, 아껴주는, 행복"
5913,그대의 말없는 운명 가운데,,어린 태양이 말하되,임화,"비장함, 아껴주는, 신기함/관심","불안/걱정, 불쌍함/연민, 비장함, 아껴주는","비장함, 깨달음","불쌍함/연민, 서러움, 슬픔, 힘듦/지침, 안타까움/실망"
5914,나는 우리의 무덤 앞에 설,,어린 태양이 말하되,임화,"비장함, 기대감, 깨달음, 불안/걱정, 아껴주는, 환영/호의","서러움, 비장함, 불안/걱정, 안타까움/실망, 슬픔, 죄책감, 아껴주는","부담/안_내킴, 비장함, 뿌듯함","기대감, 비장함, 뿌듯함"
5915,비석의 글발을 읽는다.,,어린 태양이 말하되,임화,"신기함/관심, 없음","신기함/관심, 없음","비장함, 뿌듯함","슬픔, 깨달음, 안타까움/실망"
